ANO;COD_PAIS;TX_NATALIDADE_PER_MIL;%GASTO_PIB_SAUDE;TX_MORTALIDADE_PER_MIL;TX_FERTILIDADE_PER_MULHER;EXP_VIDA;DELTA_MIGRACAO;POP_TOTAL
1960;BRA;43.86;;14.025;6.061;52.66;51401;73092515
1960;USA;23.7;;9.5;3.654;69.7707317073171;583458;180671000
1961;BRA;43.431;;13.662;6.044;53.183;369;75330008
1961;USA;23.3;;9.3;3.62;70.2707317073171;541424;183691000
1962;BRA;42.844;;13.301;5.995;53.71;2383;77599218
1962;USA;22.4;;9.5;3.461;70.119512195122;549734;186538000
1963;BRA;42.176;;12.952;5.929;54.209;1837;79915555
1963;USA;21.7;;9.6;3.319;69.9170731707317;588381;189242000
1964;BRA;41.238;;12.621;5.818;54.648;2787;82262794
1964;USA;21.1;;9.4;3.19;70.1658536585366;501115;191889000
1965;BRA;40.106;;12.279;5.675;55.084;10232;84623747
1965;USA;19.4;;9.4;2.913;70.2146341463415;497365;194303000
1966;BRA;39.02;;11.968;5.529;55.473;-6967;86979283
1966;USA;18.4;;9.5;2.721;70.2121951219512;337814;196560000
1967;BRA;37.882;;11.66;5.368;55.868;-268;89323288
1967;USA;17.8;;9.4;2.558;70.5609756097561;377776;198712000
1968;BRA;36.827;;11.341;5.202;56.31;-6056;91659246
1968;USA;17.6;;9.8;2.464;69.9512195121951;502456;200706000
1969;BRA;36.137;;11.062;5.079;56.748;-5043;94000381
1969;USA;17.9;;9.5;2.456;70.5073170731708;669129;202677000
1970;BRA;35.624;;10.82;4.972;57.171;-3856;96369875
1970;USA;18.4;;9.5;2.48;70.8073170731707;937473;205052000
1971;BRA;35.094;;10.595;4.857;57.586;-14008;98766288
1971;USA;17.2;;9.3;2.266;71.1073170731708;914163;207661000
1972;BRA;34.641;;10.367;4.746;58.032;-6485;101194394
1972;USA;15.6;;9.4;2.01;71.1560975609756;945777;209896000
1973;BRA;34.258;;10.157;4.646;58.472;-3826;103666904
1973;USA;14.8;;9.3;1.879;71.3560975609756;842220;211909000
1974;BRA;33.619;;9.954;4.502;58.881;-6487;106167372
1974;USA;14.8;;9.1;1.835;71.9560975609756;789950;213854000
1975;BRA;33.366;;9.744;4.415;59.353;-7793;108700515
1975;USA;14.6;;8.8;1.774;72.6048780487805;832170;215973000
1976;BRA;33.173;;9.568;4.339;59.792;-15633;111286504
1976;USA;14.6;;8.8;1.738;72.8560975609756;760399;218035000
1977;BRA;32.966;;9.392;4.267;60.24;8791;113939886
1977;USA;15.1;;8.6;1.79;73.2560975609756;1015857;220239000
1978;BRA;32.741;;9.203;4.195;60.72;7653;116664382
1978;USA;15;;8.7;1.76;73.3560975609756;1148506;222585000
1979;BRA;32.461;;8.989;4.12;61.253;8024;119447303
1979;USA;15.6;;8.5;1.808;73.8048780487805;1119646;225055000
1980;BRA;32.152;;8.779;4.037;61.781;11959;122288383
1980;USA;15.9;;8.8;1.8395;73.609756097561;1123144;227225000
1981;BRA;31.756;;8.558;3.943;62.333;-14927;125168060
1981;USA;15.8;;8.6;1.812;74.009756097561;719062;229466000
1982;BRA;31.213;;8.346;3.838;62.856;-23807;128065095
